Run,#Features,#NodesExplored,#TotalIterationsExecuted,#TotalNodes,Algorithm,AlgorithmSteps,Configuration,ExecutionTime,Reward,StoppingCondition,ValidConfiguration
1,61,122,122,1763,"UCT MCTS (sc:iters=1, ew=0.5)",61,"['Packages', 'Operations', 'PicoSAT-pycosat', 'PicoSAT', 'pycryptosat', 'SimpleParse', 'MiniSAT-python-sat', 'six', 'ValidModel', 'Lingeling-satispy', 'Glucose', 'APISolvers', 'pipdeptree', 'ErrorDetection', 'umo', 'FeatureIDE', 'antlr4-python3-runtime', 'ErrorDiagnosis', 'Glucose-python-sat', 'AllProducts', 'AutomatedReasoning', 'pyglucose', 'MiniSAT', 'satyrn', 'Glucose-pyglucose', 'SPLOT', 'pycosat', 'System', 'MiniSAT-satispy', 'AAFMFramework', 'CNFModel', 'ebnf', 'MiniSAT-umo', 'FeatureModel', 'UVL', 'ValidConfiguration', 'Interoperability', 'pybind11', 'PicoSAT-pyPicosat', 'Metamodels', 'lark-parser', 'pydepqbf', 'pip', 'Solvers', 'CoreFeatures', 'pkg-resources', 'DeadFeatures', 'DecisionModel', 'ParserTechnology', 'Lingeling', 'Lingeling-python-sat', 'Utils', 'pyPicosat', 'python-sat', 'Lingeling-pylgl', 'Linux', 'ValidProduct', 'DepMng', 'pylgl', 'setuptools', 'satispy']",0.7409133911132812,4,1,True
2,55,110,110,2072,"UCT MCTS (sc:iters=1, ew=0.5)",55,"['AAFMFramework', 'PicoSAT-pycosat', 'pybind11', 'pycosat', 'pydepqbf', 'python-sat', 'Glucose-python-sat', 'antlr4-python3-runtime', 'AutomatedReasoning', 'System', 'Lingeling-pylgl', 'pyglucose', 'CNFModel', 'ErrorDetection', 'SimpleParse', 'satyrn', 'pip', 'pkg-resources', 'ParserTechnology', 'Metamodels', 'APISolvers', 'ebnf', 'Utils', 'FeatureModel', 'Solvers', 'Lingeling', 'pycryptosat', 'Packages', 'FeatureIDE', 'satispy', 'PicoSAT', 'six', 'MiniSAT', 'DecisionModel', 'Lingeling-satispy', 'ValidConfiguration', 'MiniSAT-satispy', 'Linux', 'setuptools', 'MiniSAT-umo', 'pyPicosat', 'pylgl', 'Interoperability', 'DepMng', 'wheel', 'Operations', 'SPLOT', 'UVL', 'ValidProduct', 'umo', 'Glucose', 'lark-parser', 'DeadFeatures', 'ValidModel', 'MiniSAT-python-sat']",0.7457141876220703,16,1,True
3,60,120,120,1686,"UCT MCTS (sc:iters=1, ew=0.5)",60,"['AllProducts', 'Solvers', 'pipdeptree', 'wheel', 'DepMng', 'python-sat', 'pyglucose', 'pkg-resources', 'Lingeling-python-sat', 'FeatureModel', 'CoreFeatures', 'Lingeling', 'MiniSAT-satispy', 'ParserTechnology', 'AutomatedReasoning', 'Glucose', 'pip', 'Operations', 'lark-parser', 'ValidProduct', 'pybind11', 'DecisionModel', 'PicoSAT-pyPicosat', 'Glucose-python-sat', 'Utils', 'DeadFeatures', 'MiniSAT-python-sat', 'Metamodels', 'ErrorDiagnosis', 'umo', 'FeatureIDE', 'pycosat', 'setuptools', 'Lingeling-pylgl', 'pydepqbf', 'AAFMFramework', 'Packages', 'System', 'ValidConfiguration', 'UVL', 'PicoSAT', 'satispy', 'ErrorDetection', 'MiniSAT', 'six', 'APISolvers', 'Glucose-pyglucose', 'pyPicosat', 'pylgl', 'antlr4-python3-runtime', 'Linux', 'PicoSAT-pycosat', 'CNFModel', 'Interoperability', 'Lingeling-satispy', 'MiniSAT-umo', 'ebnf', 'ValidModel', 'SimpleParse', 'pycryptosat']",0.7335677146911621,6,1,True
4,60,120,120,2257,"UCT MCTS (sc:iters=1, ew=0.5)",60,"['ValidModel', 'MiniSAT-python-sat', 'CNFModel', 'pycosat', 'MiniSAT', 'pylgl', 'pyPicosat', 'ErrorDetection', 'APISolvers', 'Glucose', 'DepMng', 'System', 'ebnf', 'pybind11', 'Lingeling-satispy', 'pydepqbf', 'wheel', 'pkg-resources', 'lark-parser', 'Interoperability', 'DecisionModel', 'CoreFeatures', 'AllProducts', 'Glucose-python-sat', 'Metamodels', 'FeatureModel', 'pip', 'ValidConfiguration', 'Lingeling-python-sat', 'antlr4-python3-runtime', 'SimpleParse', 'satyrn', 'ValidProduct', 'Linux', 'Lingeling-pylgl', 'python-sat', 'AAFMFramework', 'Operations', 'PicoSAT', 'satispy', 'umo', 'MiniSAT-umo', 'pyglucose', 'FeatureIDE', 'ErrorDiagnosis', 'UVL', 'DeadFeatures', 'setuptools', 'six', 'ParserTechnology', 'pipdeptree', 'AutomatedReasoning', 'PicoSAT-pyPicosat', 'pycryptosat', 'Solvers', 'Utils', 'PicoSAT-pycosat', 'Packages', 'Glucose-pyglucose', 'Lingeling']",0.7919998168945312,6,1,True
5,58,116,116,1421,"UCT MCTS (sc:iters=1, ew=0.5)",58,"['ValidProduct', 'python-sat', 'umo', 'pkg-resources', 'PicoSAT-pycosat', 'Lingeling-python-sat', 'DecisionModel', 'ParserTechnology', 'pycosat', 'pip', 'satyrn', 'ebnf', 'Glucose-pyglucose', 'Utils', 'APISolvers', 'lark-parser', 'MiniSAT-python-sat', 'Lingeling-satispy', 'CNFModel', 'Glucose-python-sat', 'ErrorDetection', 'six', 'wheel', 'pylgl', 'pycryptosat', 'PicoSAT-pyPicosat', 'System', 'DepMng', 'Lingeling-pylgl', 'pydepqbf', 'pyglucose', 'SimpleParse', 'Interoperability', 'AAFMFramework', 'UVL', 'Glucose', 'ErrorDiagnosis', 'setuptools', 'satispy', 'pybind11', 'MiniSAT-umo', 'MiniSAT-satispy', 'Operations', 'Linux', 'Packages', 'Solvers', 'FeatureModel', 'ValidModel', 'PicoSAT', 'pyPicosat', 'pipdeptree', 'Lingeling', 'antlr4-python3-runtime', 'Metamodels', 'SPLOT', 'AutomatedReasoning', 'MiniSAT', 'FeatureIDE']",0.6514925956726074,10,1,True
6,60,120,120,2084,"UCT MCTS (sc:iters=1, ew=0.5)",60,"['Linux', 'AllProducts', 'ValidProduct', 'pip', 'Packages', 'pyglucose', 'Lingeling-python-sat', 'pydepqbf', 'PicoSAT', 'Lingeling-pylgl', 'ValidModel', 'AAFMFramework', 'PicoSAT-pyPicosat', 'python-sat', 'six', 'Metamodels', 'Glucose-pyglucose', 'AutomatedReasoning', 'ebnf', 'pkg-resources', 'Interoperability', 'pylgl', 'CNFModel', 'ErrorDiagnosis', 'DecisionModel', 'lark-parser', 'ErrorDetection', 'pycryptosat', 'SimpleParse', 'MiniSAT-umo', 'System', 'satyrn', 'Utils', 'pybind11', 'APISolvers', 'DeadFeatures', 'satispy', 'Lingeling-satispy', 'ValidConfiguration', 'MiniSAT', 'pyPicosat', 'SPLOT', 'MiniSAT-satispy', 'Glucose-python-sat', 'Lingeling', 'ParserTechnology', 'umo', 'PicoSAT-pycosat', 'Glucose', 'Operations', 'antlr4-python3-runtime', 'pipdeptree', 'setuptools', 'wheel', 'Solvers', 'FeatureIDE', 'DepMng', 'pycosat', 'FeatureModel', 'MiniSAT-python-sat']",0.7154655456542969,6,1,True
7,62,123,124,2444,"UCT MCTS (sc:iters=1, ew=0.5)",62,"['Packages', 'ValidConfiguration', 'MiniSAT-umo', 'ValidModel', 'Glucose-pyglucose', 'FeatureIDE', 'antlr4-python3-runtime', 'Solvers', 'Lingeling-pylgl', 'PicoSAT-pyPicosat', 'MiniSAT-satispy', 'CoreFeatures', 'pycosat', 'ErrorDetection', 'AAFMFramework', 'pybind11', 'CNFModel', 'ParserTechnology', 'UVL', 'six', 'SPLOT', 'PicoSAT-pycosat', 'pkg-resources', 'pycryptosat', 'ebnf', 'pyPicosat', 'setuptools', 'Operations', 'Glucose-python-sat', 'SimpleParse', 'Lingeling-python-sat', 'MiniSAT-python-sat', 'Metamodels', 'DepMng', 'satyrn', 'System', 'satispy', 'pydepqbf', 'ErrorDiagnosis', 'ValidProduct', 'MiniSAT', 'Lingeling-satispy', 'pylgl', 'Lingeling', 'AllProducts', 'pyglucose', 'DeadFeatures', 'umo', 'wheel', 'lark-parser', 'Utils', 'pipdeptree', 'AutomatedReasoning', 'PicoSAT', 'python-sat', 'DecisionModel', 'APISolvers', 'Linux', 'pip', 'Interoperability', 'Glucose', 'FeatureModel']",0.8040704727172852,2,1,True
8,59,118,118,2270,"UCT MCTS (sc:iters=1, ew=0.5)",59,"['python-sat', 'setuptools', 'Glucose-python-sat', 'MiniSAT-satispy', 'ParserTechnology', 'AllProducts', 'lark-parser', 'SimpleParse', 'MiniSAT-python-sat', 'pycryptosat', 'Lingeling-satispy', 'ErrorDetection', 'ValidModel', 'ValidProduct', 'UVL', 'DeadFeatures', 'DepMng', 'APISolvers', 'pybind11', 'wheel', 'PicoSAT', 'pipdeptree', 'Lingeling-python-sat', 'umo', 'Utils', 'pyPicosat', 'Glucose-pyglucose', 'pip', 'Lingeling', 'Linux', 'SPLOT', 'AutomatedReasoning', 'ErrorDiagnosis', 'Lingeling-pylgl', 'Packages', 'satyrn', 'Metamodels', 'pyglucose', 'ebnf', 'satispy', 'MiniSAT', 'FeatureIDE', 'MiniSAT-umo', 'AAFMFramework', 'pylgl', 'System', 'CoreFeatures', 'six', 'PicoSAT-pyPicosat', 'PicoSAT-pycosat', 'Glucose', 'pydepqbf', 'antlr4-python3-runtime', 'pkg-resources', 'Interoperability', 'Operations', 'Solvers', 'pycosat', 'CNFModel']",0.7640402317047119,8,1,True
9,33,66,66,509,"UCT MCTS (sc:iters=1, ew=0.5)",33,"['SimpleParse', 'pybind11', 'setuptools', 'satispy', 'APISolvers', 'pyglucose', 'Utils', 'DepMng', 'Packages', 'FeatureIDE', 'pip', 'SPLOT', 'lark-parser', 'antlr4-python3-runtime', 'python-sat', 'CNFModel', 'DecisionModel', 'Linux', 'ParserTechnology', 'umo', 'pycryptosat', 'Interoperability', 'pkg-resources', 'ebnf', 'pydepqbf', 'System', 'satyrn', 'six', 'pylgl', 'AAFMFramework', 'Metamodels', 'FeatureModel', 'UVL']",0.37271785736083984,30,1,True
10,33,66,66,652,"UCT MCTS (sc:iters=1, ew=0.5)",33,"['APISolvers', 'pycosat', 'pyPicosat', 'antlr4-python3-runtime', 'satispy', 'SimpleParse', 'CNFModel', 'DepMng', 'Packages', 'pycryptosat', 'System', 'pydepqbf', 'pip', 'Utils', 'wheel', 'Linux', 'AAFMFramework', 'ebnf', 'pipdeptree', 'six', 'satyrn', 'Metamodels', 'ParserTechnology', 'lark-parser', 'pkg-resources', 'DecisionModel', 'Interoperability', 'setuptools', 'FeatureModel', 'UVL', 'pylgl', 'pybind11', 'FeatureIDE']",0.35410284996032715,60,1,True
